Rangasthalam | 9.4 | 2018 | Action, Drama | ./drama/6.jpg | India
The Dark Knight | 9.0 | 2008 | Action, Crime, Thriller | ./thriller/3.jpg | USA, UK
Vikram Vedha | 8.9 | 2017 | Action, Crime, Thriller | ./thriller/5.jpg | India
Kireedam | 8.9 | 1989 | Action, Drama | ./drama/36.jpg | India
Golden Treasure | 8.9 | 2016 | Action, Drama, Romance | ./romance/7.jpg | Mongolia
Inception | 8.8 | 2010 | Action, Adventure, Sci-Fi | ./thriller/7.jpg | USA, UK
Star Wars: Episode V - The Empire Strikes Back | 8.8 | 1980 | Action, Adventure, Fantasy | ./sci-fi/2.jpg | USA
Kill Bill: The Whole Bloody Affair | 8.8 | 2011 | Action, Crime | ./crime/10.jpg | USA
The Matrix | 8.7 | 1999 | Action, Sci-Fi | ./sci-fi/3.jpg | USA
Bilal: A New Breed of Hero | 8.7 | 2015 | Animation, Action, Adventure | ./animation/1.jpg | United Arab Emirates, Saudi Arabia
Seppuku | 8.7 | 2016 | Action, Drama, History | ./history/9.jpg | USA
Devasuram | 8.7 | 1993 | Action, Drama, Thriller | ./thriller/14.jpg | India
Star Wars | 8.6 | (1993) | Action, Adventure, Fantasy | ./action/15.jpg | USA
Dangal | 8.6 | 2016 | Action, Biography, Drama | ./sport/1.jpg | India
Black Friday | 6.4 | 2004 | Drama, Horror, Sci-Fi | ./sci-fi/876.jpg | India
Arjun Reddy | 8.6 | 2017 | Action, Drama, Romance | ./romance/22.jpg | India
Dhuruvangal Pathinaaru | 8.6 | 2016 | Action, Crime, Mystery | ./thriller/19.jpg | India
Thani Oruvan | 8.6 | 2015 | Action, Crime, Thriller | ./thriller/20.jpg | India
Dhaka Attack | 8.6 | 2017 | Action, Thriller | ./thriller/23.jpg | Bangladesh
Thalapathi | 8.6 | 1991 | Action, Crime, Drama | ./drama/109.jpg | India
Kuruthipunal | 8.6 | 1995 | Action, Drama, Thriller | ./thriller/24.jpg | India
Oru Vadakkan Veeragatha | 8.6 | 1989 | Action, Drama, History | ./war/18.jpg | India
Aaranya Kaandam | 8.6 | 2010 | Action, Comedy, Crime | ./thriller/27.jpg | India
Gladiator | 6.5 | 2000 | Action, Drama, Sport | ./sport/380.jpg | USA, UK
Raiders of the Lost Ark | 8.5 | 1981 | Action, Adventure | ./adventure/26.jpg | USA
